iter	Logloss
0	0.6525019164
1	0.6161293923
2	0.5856880081
3	0.5597812694
4	0.5376997791
5	0.5192214282
6	0.5023376967
7	0.4891845904
8	0.4769122303
9	0.4652109768
10	0.4562030317
11	0.4473952574
12	0.4398778572
13	0.4356764045
14	0.4288547222
15	0.4243685006
16	0.4185918023
17	0.4154012534
18	0.411471095
19	0.4083856526
20	0.4056779671
21	0.4025718019
22	0.3999937443
23	0.3957722893
24	0.392650072
25	0.3890038075
26	0.3872000532
27	0.3850498862
28	0.383422356
29	0.3816236707
30	0.3790327127
31	0.3767645277
32	0.3748221826
33	0.3731776681
34	0.3715342143
35	0.3695800611
36	0.3683023425
37	0.3667074175
38	0.3657232046
39	0.3646991453
40	0.3637177358
41	0.3627846226
42	0.3618023184
43	0.3602616602
44	0.3591962848
45	0.3581887643
46	0.3574156299
47	0.3562360082
48	0.3555529344
49	0.3549102747
50	0.3544057989
51	0.3537417621
52	0.3530069294
53	0.3522882187
54	0.351620881
55	0.3507217661
56	0.3502193441
57	0.3497776175
58	0.3491030897
59	0.3485733675
60	0.3481929438
61	0.3478161055
62	0.3474769622
63	0.3470847587
64	0.3463370435
65	0.3457878726
66	0.3452725982
67	0.3449680838
68	0.344596382
69	0.3441662088
70	0.3437229207
71	0.3433101593
72	0.342996339
73	0.3425004824
74	0.3423032315
75	0.3419810322
76	0.3416622472
77	0.3413830796
78	0.3411740146
79	0.3408510294
80	0.3405470872
81	0.3402765692
82	0.3400466684
83	0.3397900629
84	0.3396412557
85	0.3394540157
86	0.3393199187
87	0.3389780716
88	0.3388755425
89	0.338548865
90	0.338429028
91	0.3382581371
92	0.3380451288
93	0.3378948071
94	0.3377068006
95	0.3373936855
96	0.3372783766
97	0.3371283309
98	0.3370343348
99	0.3369369193
100	0.3367930344
101	0.3366167444
102	0.3364229646
103	0.3362197656
104	0.3360454305
105	0.3358858363
106	0.3356520682
107	0.3355739
108	0.335436239
109	0.3353033646
110	0.3351819459
111	0.3348378367
112	0.3346339159
113	0.3344923035
114	0.3342833829
115	0.3341554073
116	0.3340370622
117	0.3339216473
118	0.3337823556
119	0.3336959944
120	0.3335141934
121	0.3334016353
122	0.3332892326
